STATSSA_Area_Code,Description,Main_Code
2011-599037001,Amatikwe Area 10,2011-599037
2011-599037005,Amatikwe Area 8,2011-599037
2011-599037002,Amatikwe Area 9,2011-599037
2011-260044004,Amatola View,2011-260044
2011-597002001,Amatolo SP,2011-597002
2011-585021001,Amatshamnyama SP,2011-585021
2011-594080001,Amavondwe SP,2011-594080
2011-273072001,Amazibula SP,2011-273072
2011-281017009,Amberdale,2011-281017
2011-799059068,Amberfield Crest,2011-799059
2011-799059066,Amberfield Glen,2011-799059
2011-799059067,Amberfield Heights,2011-799059
2011-799059069,Amberfield Manor,2011-799059
2011-799059070,Amberfield Ridge,2011-799059
2011-799059071,Amberfield Valley,2011-799059
2011-566003059,Ambleton,2011-566003
2011-798022016,Ambot AH,2011-798022
2011-296003001,Ambrose,2011-296003
2011-524010010,Ameil Park,2011-524010
2011-478010007,Amelia,2011-478010
2011-294042001,Amendu SP,2011-294042
2011-863001002,Amersfoort SP,2011-863001
2011-798022020,Amorosa,2011-798022
2011-969102001,Amosotho SP,2011-969102
2011-166008019,Amstelhof,2011-166008
2011-862001001,Amsterdam SP,2011-862001
2011-299007004,Amsterdamhoek,2011-299007
2011-661041001,Ana AH SP,2011-661041
2011-199055003,Anchorage Park,2011-199055
2011-798028011,Anchorville,2011-798028
2011-386005001,Andalusia Park,2011-386005
2011-199045045,Andas Estate,2011-199045
2011-799035028,Andeon AH,2011-799035
2011-797010020,Anderbolt,2011-797010
2011-260071001,Anders Mission SP,2011-260071
2011-295100001,Andris SP,2011-295100
2011-506014002,Anerley,2011-506014
2011-797010029,Angelo,2011-797010
2011-987002003,Anglo Platinum Twickenham Mine,2011-987002
2011-599139009,Angola Block E,2011-599139
2011-281037001,Angola SP,2011-281037
2011-592005001,Anmaharai SP,2011-592005
2011-974044009,Annadale,2011-974044
2011-760009004,Annaton AH,2011-760009
2011-526027001,Annieville SP,2011-526027
2011-799035006,Annlin,2011-799035
2011-282262001,Anoves SP,2011-282262
2011-526037001,Anville SP,2011-526037
2011-797022004,Anzac,2011-797022
2011-797031043,AP Khumalo,2011-797031
2011-985007002,Apel Cross,2011-985007
2011-985007001,Apel SP,2011-985007
2011-797011055,Apex,2011-797011
2011-987136001,Apiesdoring SP,2011-987136
2011-270424001,Apleni SP,2011-270424
2011-675008001,Appeldraai SP,2011-675008
2011-276071012,Appiesdry sp,2011-276071
2011-763004031,Apple Park,2011-763004
2011-962048001,Aqua Park,2011-962048
2011-538011001,Aquadene,2011-538011
2011-266001003,Aquapark,2011-266001
2011-984045002,Aquaville,2011-984045
2011-172007001,Arabella Country Estate SP,2011-172007
2011-983011001,Arabie SP,2011-983011
2011-799065002,Arathorn Estate,2011-799065
2011-199019013,Arauna,2011-199019
2011-962048003,Arbor Park,2011-962048
2011-524010024,Arbor Park,2011-524010
2011-288002001,Arbor View,2011-288002
2011-538011010,Arboretum,2011-538011
2011-499023026,Arboretum,2011-499023
2011-799035079,Arcadia,2011-799035
2011-299006003,Arcadia,2011-299006
2011-260113059,Arcadia,2011-260113
2011-969031001,Archibalt SP,2011-969031
2011-760009028,Arcon Park,2011-760009
2011-760008067,Ardenwold AH,2011-760008
2011-260039003,Area North 1924,2011-260039
2011-599161009,Arena Park,2011-599161
2011-272039001,Arena SP,2011-272039
2011-173006003,Argonauta,2011-173006
2011-471009001,Arlington SP,2011-471009
2011-178008001,Armoed SP,2011-178008
2011-173005001,Arniston SP,2011-173005
2011-282008001,Arosi SP,2011-282008
2011-383006006,Arshburnham,2011-383006
2011-290266003,Arthur Homes,2011-290266
2011-280001001,Asazani,2011-280001
2011-176016001,Asazani JCCC Camp,2011-176016
2011-378003001,Asbosknop SP,2011-378003
2011-566038001,Ashburton SP,2011-566038
2011-169001001,Ashbury,2011-169001
2011-499023043,Ashbury,2011-499023
2011-566003045,Ashdown,2011-566003
2011-261003004,Asherville,2011-261003
2011-599116023,Ashley,2011-599116
2011-169006001,Ashton SP,2011-169006
2011-799035057,Asiatic Bazaar,2011-799035
2011-285078001,Askeaton SP,2011-285078
2011-377008001,Askham SP,2011-377008
2011-667020006,Aslaagte,2011-667020
2011-561006006,Asoka Heights,2011-561006
2011-798015216,Aspen Hills Nature Estate,2011-798015
2011-599099002,Assagay,2011-599099
2011-268009010,Aston Bay,2011-268009
2011-797006023,Aston Manor,2011-797006
2011-599172007,Astra Park,2011-599172
2011-569015001,Asynkraal,2011-569015
2011-664020001,Atamelang,2011-664020
2011-666020001,Atamelang SP,2011-666020
2011-599054012,Athlone,2011-599054
2011-566003014,Athlone,2011-566003
2011-599054069,Athlone Park,2011-599054
2011-199029006,Athlone SP,2011-199029
2011-674059001,Athole SP,2011-674059
2011-798013055,Atholl,2011-798013
2011-599115001,Atholl Heights,2011-599115
2011-199004006,Atlantis Industrial,2011-199004
2011-797010004,Atlasville,2011-797010
2011-986002001,Atok Platinum Mine SP1,2011-986002
2011-986002003,Atok Platinum Mine SP2,2011-986002
2011-799056002,"Atteridgeville Ext 3, 7",2011-799056
2011-799056003,"Atteridgeville Ext 6, 16, 17",2011-799056
2011-799056001,Atteridgeville SP,2011-799056
2011-274068001,Auckland,2011-274068
2011-798015098,Auckland Park,2011-798015
2011-378001001,Augrabies Falls National Park SP,2011-378001
2011-378007001,Augrabies Mission SP,2011-378007
2011-378011001,Augrabies SP,2011-378011
2011-764002025,Aureus,2011-764002
2011-199017024,Aurora,2011-199017
2011-969124001,Aurora SP,2011-969124
2011-162005001,Aurora SP,2011-162005
2011-798004034,Austin View AH,2011-798004
2011-199035008,Austinville,2011-199035
2011-674039001,Austrey SP,2011-674039
2011-199018001,Avalon Estate,2011-199018
2011-272036001,Avalon Holiday Resort,2011-272036
2011-981003013,Aventura Warmbaths,2011-981003
2011-168007027,Avian Park,2011-168007
2011-524010003,Aviary Hill,2011-524010
2011-599054005,Avoca,2011-599054
2011-599111003,Avoca Hills,2011-599111
2011-199025003,Avon,2011-199025
2011-360008001,Avon SP,2011-360008
2011-969059001,Avon SP,2011-969059
2011-199004004,Avondale SP1,2011-199004
2011-199015015,Avondale(Parrow),2011-199015
2011-199016053,Avondstil,2011-199016
2011-860005002,Avontuur SH,2011-860005
2011-860006001,Avontuur SP,2011-860006
2011-199025005,Avonwood,2011-199025
2011-763004053,Azaadville,2011-763004
2011-864006007,Azalea Ext 1,2011-864006
2011-299004011,Azalea Park,2011-299004
2011-172024001,Baardscheerders Bosch SP,2011-172024
2011-962040001,Babanana SP,2011-962040
2011-581134001,Babanango SP,2011-581134
2011-960025001,Babangu SP,2011-960025
2011-290203001,Babani SP,2011-290203
2011-287014004,Babara,2011-287014
2011-799003001,Babelegi Industrial,2011-799003
2011-982009001,Babirwa SP,2011-982009
2011-299007014,Bacelona,2011-299007
2011-874037001,Backdoor SP,2011-874037
2011-478007001,Baddriftbrug SP,2011-478007
2011-270530001,Badi SP,2011-270530
2011-296194001,Badibanise SP,2011-296194
2011-974087001,Badimong SP,2011-974087
2011-764002027,Badirile,2011-764002
