,municipality
290,0150 Tshwane Metro Magalieskruin Pretoria
291,0151 Tshwane Metro Montana Pretoria
292,0152 Tshwane Metro  Soshanguve
293,0152 Tshwane Metro  Soshanguve
294,0152 Tshwane Metro Rietgat Depot Soshanguve
295,0152 Tshwane Metro Soshanguve East Soshanguve
296,0152 Tshwane Metro Soshanguve South Soshanguve
297,0152 Tshwane Metro Soshanguve West Pretoria
298,0153 Tshwane Metro  Wingate Park
299,0153 Tshwane Metro Erasmuskloof Pretoria
300,0153 Tshwane Metro Kasteelsig Wingate Park
301,0153 Tshwane Metro Wingate Park Pretoria
302,0154 Tshwane Metro  Rooihuiskraal
303,0154 Tshwane Metro Rooihuiskraal Pretoria
304,0154 Tshwane Metro Rooihuiskraal North Rooihuiskraal
305,0155 Tshwane Metro  Theresapark
306,0155 Tshwane Metro Theresapark Pretoria
307,0156 Tshwane Metro  Ninapark
308,0156 Tshwane Metro Ninapark Pretoria
309,0157 Tshwane Metro  The Reeds
310,0157 Tshwane Metro  Wierdapark
311,0157 Tshwane Metro  Rooihuiskraal
312,0157 Tshwane Metro  Rooihuiskraal
313,0157 Tshwane Metro  The Reeds
314,0157 Tshwane Metro  Centurion
315,0157 Tshwane Metro  Highveld
316,0157 Tshwane Metro  Highveld
317,0157 Tshwane Metro Amberville Centurion
318,0157 Tshwane Metro Bronberrik Centurion
319,0157 Tshwane Metro Celtisdal Wierdapark
320,0157 Tshwane Metro Centurion Country Club Centurion
321,0157 Tshwane Metro Clubview Centurion
322,0157 Tshwane Metro Clubview Centurion
323,0157 Tshwane Metro Clubview East Centurion
324,0157 Tshwane Metro Clubview West Centurion
325,0157 Tshwane Metro Cornwall Hill Centurion
326,0157 Tshwane Metro Cranbrookvale Centurion
327,0157 Tshwane Metro Die Hoewes Centurion
328,0157 Tshwane Metro Die Hoewes Centurion
329,0157 Tshwane Metro Doringkloof Centurion
330,0157 Tshwane Metro Eldo Manor Centurion
331,0157 Tshwane Metro Eldoglen Centurion
332,0157 Tshwane Metro Eldopark Centurion
333,0157 Tshwane Metro Eldoraigne Centurion
334,0157 Tshwane Metro Eldoraigne Centurion
335,0157 Tshwane Metro Hennopsmeer Centurion
336,0157 Tshwane Metro Hennopspark Centurion
337,0157 Tshwane Metro Hennopspark Centurion
338,0157 Tshwane Metro Heuweloord Wierdapark
